insert-node_LocalVariable_Block,insert-node_If_Block,insert-node_Assignment_Block,insert-node_Invocation_Block,P(state),P(is_vul=0 | state),P(is_vul=1 | state),"P(state, is_vul=0)","P(state, is_vul=1)"
0,0,0,0,0.720298451828618,0.40757416,0.59242584,0.2935750364533494,0.42672341537526853
0,0,0,1,0.08052325530103527,0.76472878,0.23527122,0.061578450787989236,0.018944804513046035
0,1,0,0,0.07210252535201589,0.84170383,0.15829617,0.06068897174146388,0.011413553610552019
1,1,0,0,0.03698474001348412,0.84170383,0.15829617,0.031130197320903837,0.005854542692580285
1,0,0,0,0.03249323419062512,0.40757416,0.59242584,0.013243402630927315,0.019249831559697807
1,0,0,1,0.02014159469610471,0.76472878,0.23527122,0.015402857139206626,0.004738737556898085
0,0,1,0,0.01725543457378864,0.67689016,0.32310984,0.011680033869521326,0.005575400704267316
1,1,0,1,0.0040470335839278586,0.83201581,0.16798419,0.0033671959254289404,0.0006798376584989183
1,1,1,0,0.0035870132117286923,0.45939086,0.54060914,0.001647841084167406,0.0019391721275612865
0,1,0,1,0.0033332070434109497,0.83201581,0.16798419,0.0027732809581212667,0.0005599260852896833
1,0,1,0,0.0031513986658030565,0.67689016,0.32310984,0.0021331507471192175,0.001018247918683839
1,0,1,1,0.00195345881176592,0.77149321,0.22850679,0.0015070802092920755,0.0004463786024738446
0,0,1,1,0.0019290111758370003,0.77149321,0.22850679,0.0014882190241723619,0.0004407921516646385
0,1,1,0,0.0017272845799655731,0.45939086,0.54060914,0.0007934987486551235,0.0009337858313104498
1,1,1,1,0.0003925068265605312,0.19811321,0.80188679,7.77607873568201e-05,0.0003147460392037111
0,1,1,1,7.985014532858387e-05,0.19811321,0.80188679,1.5819368610012257e-05,6.403077671857162e-05
