config_index,mi_threshold,tabu_length,max_indegree,started_at,ended_at,n_restarts_used,n_distinct_optima,n_edges,bic_score,n_edges_on_target,elapsed_s,error
1,100,10,,2026-03-04T00:31:47,2026-03-04T07:33:49,50,50,119,-28609.17,32,25322.4,
2,100,10,3,2026-03-04T00:31:47,2026-03-04T03:19:05,50,50,119,-28609.17,32,10038.0,
3,100,10,5,2026-03-04T00:31:47,2026-03-04T07:31:43,50,50,119,-28609.17,32,25196.3,
4,100,50,,2026-03-04T00:31:47,2026-03-04T07:28:30,50,50,119,-28609.17,32,25002.6,
5,100,50,3,2026-03-04T00:31:47,2026-03-04T03:20:12,50,50,119,-28609.17,32,10104.5,
6,100,50,5,2026-03-04T00:31:47,2026-03-04T07:26:40,50,50,119,-28609.17,32,24893.1,
7,100,100,,2026-03-04T09:06:20,2026-03-04T14:53:21,50,50,118,-28610.13,32,20820.6,
8,100,100,3,2026-03-04T03:20:12,2026-03-04T06:06:03,50,50,119,-28609.17,32,9951.2,
9,100,100,5,2026-03-04T09:06:20,2026-03-04T14:54:36,50,50,118,-28610.13,32,20895.8,
